mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
M,ALL,H4,H4,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-12 09:00:00,2016-08-12 13:00:00,1.0,1.00012,2016-09-20 13:00:00,0.99816,0.9703200000000001,1.0195753846153846,2016-10-20 13:00:00,1.0091,loss,-0.5108477011494286,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,82.34393939393945,1.0,30,0.9,1.3,2
M,ALL,H4,H4,EURJPY,long,2016-07-01,2016-08-01,110.827,114.074,3.247,2016-08-26 09:00:00,2016-08-26 13:00:00,113.1545,113.247,2016-09-20 21:00:00,113.4835,117.321,110.50229999999999,2016-10-20 21:00:00,113.614,win,0.043774319066146906,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,147.3833333333334,1.0,30,0.9,1.3,3
M,ALL,H4,H4,GBPJPY,long,2016-07-01,2016-08-01,128.7815,135.025,6.243500000000012,2016-08-22 09:00:00,2016-08-22 13:00:00,131.3685,131.4185,2016-09-21 01:00:00,133.042,141.26850000000002,126.71392307692307,2016-10-06 21:00:00,126.71392307692307,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,265.015909090909,1.0,30,0.9,1.3,4
M,ALL,H4,H4,GBPCHF,long,2016-07-01,2016-08-01,1.24494,1.28261,0.03767000000000009,2016-08-19 09:00:00,2016-08-19 13:00:00,1.247525,1.251695,2016-09-26 05:00:00,1.25192,1.3202800000000001,1.1993353846153845,2016-10-06 21:00:00,1.1993353846153845,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,166.7583333333334,1.0,30,0.9,1.3,5
M,ALL,H4,H4,GBPAUD,long,2016-07-01,2016-08-01,1.67213,1.74112,0.0689900000000001,2016-08-18 01:00:00,2016-08-18 05:00:00,1.6919,1.69361,2016-09-26 09:00:00,1.69399,1.81011,1.6046669230769233,2016-10-06 21:00:00,1.6046669230769233,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,229.0181818181818,1.0,30,0.9,1.3,6
M,ALL,H4,H4,AUDJPY,short,2016-08-01,2016-09-01,77.7505,79.132,1.3815000000000026,2016-09-08 05:00:00,2016-09-08 09:00:00,78.493,78.605,2016-10-04 01:00:00,78.4125,76.369,79.98442307692306,2016-10-18 05:00:00,79.98442307692306,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,96.07272727272724,1.0,30,0.9,1.3,7
M,ALL,H4,H4,EURNZD,long,2016-08-01,2016-09-01,1.50287,1.53925,0.03638000000000008,2016-09-22 09:00:00,2016-09-22 13:00:00,1.52997,1.53195,2016-10-04 09:00:00,1.53398,1.57563,1.499232,2016-10-11 01:00:00,1.57563,win,1.1986301369863066,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,151.062121212121,1.0,30,0.9,1.3,8
M,ALL,H4,H4,EURUSD,long,2016-08-01,2016-09-01,1.104585,1.115825,0.011240000000000139,2016-08-09 09:00:00,2016-08-09 13:00:00,1.10747,1.107835,2016-10-11 09:00:00,1.10887,1.1270650000000002,1.094873846153846,2016-10-20 13:00:00,1.094873846153846,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,71.50151515151524,1.0,30,0.9,1.3,4
M,ALL,H4,H4,AUDUSD,short,2016-09-01,2016-10-03,0.76593,0.77344,0.007510000000000017,2016-10-26 05:00:00,2016-10-26 09:00:00,0.76966,0.77052,2016-11-03 21:00:00,0.76853,0.75842,0.7763069230769232,2016-11-08 18:00:00,0.7763069230769232,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,69.35833333333342,1.0,30,0.9,1.3,1
M,ALL,H4,H4,EURCAD,short,2016-09-01,2016-10-03,1.47587,1.492475,0.01660499999999998,2016-09-26 21:00:00,2016-09-27 01:00:00,1.491175,1.492475,2016-11-04 09:00:00,1.4894,1.459265,1.5125807692307693,2016-11-08 22:00:00,1.459265,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,111.6719696969695,1.0,30,0.9,1.3,2
M,ALL,H4,H4,NZDUSD,short,2016-09-01,2016-10-03,0.72849,0.74855,0.020060000000000078,2016-09-21 21:00:00,2016-09-22 01:00:00,0.73653,0.7372,2016-11-08 14:00:00,0.73623,0.7084299999999999,0.7576146153846156,2016-11-13 22:00:00,0.7084299999999999,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,74.25075757575772,1.0,30,0.9,1.3,3
M,ALL,H4,H4,EURCAD,short,2016-01-01,2016-02-01,1.51351,1.61053,0.0970200000000001,2016-02-24 10:00:00,2016-02-24 14:00:00,1.522565,1.526675,2016-11-09 02:00:00,1.51859,1.4164899999999998,1.6202320000000001,2016-12-01 14:00:00,1.4164899999999998,win,1.0045060112945465,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,113.5840909090907,1.0,30,0.9,1.3,2
M,ALL,H4,H4,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-25 18:00:00,2016-11-27 22:00:00,0.75484,0.75567,2016-12-04 22:00:00,0.75439,0.7388000000000001,0.7678535,2016-12-22 10:00:00,0.7388000000000001,win,1.1579455565046182,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,76.09999999999998,1.0,30,0.9,1.3,1
M,ALL,H4,H4,AUDCAD,long,2016-08-01,2016-09-01,0.9762,0.98514,0.008940000000000059,2016-08-19 05:00:00,2016-08-19 09:00:00,0.9762,0.9763,2016-12-11 22:00:00,0.97848,0.9940800000000001,0.96648,2017-01-04 10:00:00,0.96648,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,78.85530303030302,1.0,30,0.9,1.3,2
M,ALL,H4,H4,CADJPY,short,2016-03-01,2016-04-01,86.578,88.802,2.2240000000000038,2016-04-27 21:00:00,2016-04-28 01:00:00,88.766,88.802,2016-12-15 10:00:00,88.1445,84.354,91.06026923076922,2017-01-15 22:00:00,87.303,win,0.2886030866640277,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,100.5106060606061,1.0,30,0.9,1.3,3
M,ALL,H4,H4,GBPUSD,long,2016-10-03,2016-11-01,1.16496,1.224165,0.05920499999999995,2016-11-01 21:00:00,2016-11-02 01:00:00,1.22208,1.223035,2016-12-23 10:00:00,1.22421,1.28337,1.1590395,2017-01-22 22:00:00,1.23749,win,0.20377317958278598,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,137.9651515151516,1.0,30,0.9,1.3,3
M,ALL,H4,H4,AUDJPY,short,2016-11-01,2016-12-01,84.52,87.535,3.0150000000000006,2016-12-20 22:00:00,2016-12-21 02:00:00,85.58,85.75,2017-01-04 06:00:00,85.506,81.505,88.58369230769232,2017-02-03 06:00:00,86.482,loss,-0.31712071982004436,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,97.3628787878788,1.0,30,0.9,1.3,4
M,ALL,H4,H4,GBPCAD,long,2016-10-03,2016-11-01,1.54885,1.64154,0.09268999999999994,2016-10-17 09:00:00,2016-10-17 13:00:00,1.5939,1.59528,2017-01-12 18:00:00,1.59863,1.73423,1.4943223076923078,2017-02-12 22:00:00,1.6337,win,0.33621681415929155,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,180.669696969697,1.0,30,0.9,1.3,4
