pair,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,pivot_touch_time,ltf,wd_first_time,wd_second_time,wd_low,wd_high,wd_range,wd_pct_of_pivot,htf_wd_low,htf_wd_high,pending_until_pivot_touch
EURAUD,long,2024-01-22 00:00,2024-01-29 00:00,1.63506,1.65067,0.015610000000000124,2024-02-05 00:00,H4,2024-01-31 14:00,2024-01-31 18:00,1.64113,1.64128,0.0001500000000000945,0.009609224855867605,1.63506,1.64296,False
EURAUD,long,2024-02-19 00:00,2024-02-26 00:00,1.6452,1.64855,0.003349999999999964,2024-03-04 00:00,H4,2024-02-21 02:00,2024-02-21 06:00,1.6455,1.64563,0.00012999999999996348,0.038805970149243245,1.6452,1.64768,False
EURAUD,long,2024-02-19 00:00,2024-02-26 00:00,1.6452,1.64855,0.003349999999999964,2024-03-04 00:00,H4,2024-02-23 10:00,2024-02-23 14:00,1.64648,1.64694,0.000460000000000127,0.13731343283586026,1.6452,1.64768,False
EURAUD,long,2024-02-19 00:00,2024-02-26 00:00,1.6452,1.64855,0.003349999999999964,2024-03-04 00:00,H4,2024-02-23 18:00,2024-02-25 22:00,1.64768,1.64826,0.0005800000000000249,0.17313432835821826,1.6452,1.64768,False
EURAUD,long,2024-03-04 00:00,2024-03-11 00:00,1.6441,1.65102,0.006920000000000037,2024-03-18 00:00,H4,2024-03-08 06:00,2024-03-08 10:00,1.64422,1.6449,0.0006800000000000139,0.0982658959537587,1.6441,1.64816,False
EURAUD,long,2024-04-08 00:00,2024-04-15 00:00,1.63705,1.64654,0.009489999999999998,2024-04-22 00:00,H4,2024-04-12 05:00,2024-04-12 09:00,1.63773,1.6379,0.00017000000000000348,0.01791359325605938,1.63705,1.64144,False
EURAUD,long,2024-04-08 00:00,2024-04-15 00:00,1.63705,1.64654,0.009489999999999998,2024-04-22 00:00,H4,2024-04-15 01:00,2024-04-15 05:00,1.64144,1.64182,0.00038000000000004697,0.040042149631195685,1.63705,1.64144,False
EURAUD,long,2024-04-29 00:00,2024-05-06 00:00,1.62182,1.6283,0.006480000000000041,2024-05-13 00:00,H4,2024-05-06 21:00,2024-05-07 01:00,1.62182,1.62224,0.0004199999999998649,0.06481481481479355,1.62182,1.62384,False
EURAUD,short,2024-01-15 00:00,2024-01-22 00:00,1.65173,1.66759,0.015859999999999985,2024-01-29 00:00,H4,2024-01-18 02:00,2024-01-18 06:00,1.6621,1.6631,0.001000000000000112,0.06305170239597181,1.65716,1.66759,False
EURAUD,short,2024-01-15 00:00,2024-01-22 00:00,1.65173,1.66759,0.015859999999999985,2024-01-29 00:00,H4,2024-01-22 18:00,2024-01-22 22:00,1.6571,1.65716,5.999999999994898e-05,0.0037831021437546683,1.65716,1.66759,False
EURAUD,short,2024-01-29 00:00,2024-02-05 00:00,1.65648,1.66114,0.0046600000000001085,2024-02-12 00:00,H4,2024-02-08 18:00,2024-02-08 22:00,1.66092,1.66114,0.000220000000000109,0.04721030042920684,1.6606,1.66114,False
EURAUD,short,2024-02-26 00:00,2024-03-04 00:00,1.66101,1.67444,0.013429999999999831,2024-03-11 00:00,H4,2024-03-05 06:00,2024-03-05 10:00,1.673,1.67444,0.0014399999999998858,0.1072226358897918,1.66982,1.67444,False
EURAUD,short,2024-03-11 00:00,2024-03-18 00:00,1.65974,1.66803,0.008289999999999909,2024-03-25 00:00,H4,2024-03-20 01:00,2024-03-20 05:00,1.6653,1.66533,2.999999999997449e-05,0.0036188178528317036,1.66108,1.66803,False
EURAUD,short,2024-05-06 00:00,2024-05-13 00:00,1.63102,1.63834,0.007319999999999993,2024-05-20 00:00,H4,2024-05-08 09:00,2024-05-08 13:00,1.63809,1.63834,0.00024999999999986144,0.034153005464461976,1.637,1.63834,False
EURCAD,long,2024-01-01 00:00,2024-01-08 00:00,1.45496,1.46173,0.006769999999999943,2024-01-22 00:00,H4,2024-01-09 06:00,2024-01-09 10:00,1.46052,1.4607,0.000180000000000069,0.026587887740039957,1.45496,1.46052,False
EURCAD,long,2024-03-25 00:00,2024-04-01 00:00,1.45463,1.46172,0.007089999999999819,2024-04-15 00:00,H4,2024-04-02 05:00,2024-04-02 09:00,1.45463,1.45562,0.0009899999999998244,0.13963328631873761,1.45463,1.45851,False
EURCAD,short,2024-03-04 00:00,2024-03-11 00:00,1.4753,1.47802,0.0027199999999998337,2024-03-18 00:00,H4,2024-03-06 06:00,2024-03-06 10:00,1.47756,1.47802,0.00045999999999990493,0.16911764705879892,1.47664,1.47802,False
EURCAD,short,2024-04-01 00:00,2024-04-08 00:00,1.47286,1.47644,0.0035799999999999166,2024-04-15 00:00,H4,2024-04-09 09:00,2024-04-09 13:00,1.47642,1.47644,1.999999999990898e-05,0.005586592178745655,1.47428,1.47644,False
EURCAD,short,2024-04-29 00:00,2024-05-06 00:00,1.47292,1.47873,0.005810000000000093,2024-05-13 00:00,H4,2024-05-08 09:00,2024-05-08 13:00,1.47821,1.47873,0.000520000000000076,0.08950086058520958,1.4746,1.47873,False
EURCAD,short,2024-04-29 00:00,2024-05-06 00:00,1.47292,1.47873,0.005810000000000093,2024-05-13 00:00,H4,2024-05-10 05:00,2024-05-10 09:00,1.4755,1.4758,0.00029999999999996696,0.05163511187606922,1.4746,1.47873,False
EURCHF,short,2024-04-01 00:00,2024-04-08 00:00,0.97752,0.98486,0.007340000000000013,2024-04-22 00:00,H4,2024-04-04 05:00,2024-04-04 09:00,0.98482,0.98486,3.999999999992898e-05,0.005449591280644266,0.98358,0.98486,False
EURCHF,short,2024-04-01 00:00,2024-04-08 00:00,0.97752,0.98486,0.007340000000000013,2024-04-22 00:00,H4,2024-04-08 21:00,2024-04-09 01:00,0.98333,0.98358,0.00024999999999997247,0.03405994550408338,0.98358,0.98486,False
EURCHF,short,2024-04-22 00:00,2024-04-29 00:00,0.97796,0.98372,0.005759999999999987,2024-05-06 00:00,H4,2024-05-02 01:00,2024-05-02 05:00,0.98244,0.98262,0.000180000000000069,0.031250000000012046,0.97994,0.98372,False
EURGBP,long,2024-02-05 00:00,2024-02-12 00:00,0.84984,0.85396,0.0041200000000000125,2024-02-19 00:00,H4,2024-02-14 02:00,2024-02-14 06:00,0.84984,0.84997,0.00012999999999996348,0.03155339805824347,0.84984,0.85162,False
EURGBP,long,2024-03-25 00:00,2024-04-01 00:00,0.85302,0.85519,0.0021700000000000053,2024-04-08 00:00,H4,2024-03-29 05:00,2024-03-29 09:00,0.85302,0.85341,0.00039000000000000146,0.17972350230414771,0.85302,0.85386,False
EURGBP,long,2024-04-22 00:00,2024-04-29 00:00,0.85308,0.85588,0.0028000000000000247,2024-05-06 00:00,H4,2024-04-30 01:00,2024-04-30 05:00,0.85308,0.85334,0.000260000000000038,0.0928571428571556,0.85308,0.8558,False
EURGBP,long,2024-04-22 00:00,2024-04-29 00:00,0.85308,0.85588,0.0028000000000000247,2024-05-06 00:00,H4,2024-05-01 05:00,2024-05-01 09:00,0.85366,0.85368,2.0000000000020002e-05,0.007142857142864224,0.85308,0.8558,False
EURGBP,long,2024-04-22 00:00,2024-04-29 00:00,0.85308,0.85588,0.0028000000000000247,2024-05-06 00:00,H4,2024-05-02 05:00,2024-05-02 09:00,0.85469,0.85484,0.0001500000000000945,0.05357142857146185,0.85308,0.8558,False
EURGBP,short,2024-02-12 00:00,2024-02-19 00:00,0.85527,0.85782,0.0025500000000000522,2024-02-26 00:00,H4,2024-02-22 10:00,2024-02-22 14:00,0.85716,0.85719,2.999999999997449e-05,0.011764705882342697,0.85702,0.85782,False
EURGBP,short,2024-02-26 00:00,2024-03-04 00:00,0.8566,0.8576,0.0010000000000000009,2024-03-18 00:00,H4,2024-03-01 18:00,2024-03-03 22:00,0.85678,0.85684,6.0000000000060005e-05,0.06000000000005995,0.85684,0.8576,False
EURGBP,short,2024-03-18 00:00,2024-03-25 00:00,0.85775,0.86023,0.0024800000000000377,2024-04-01 00:00,H4,2024-03-26 09:00,2024-03-26 13:00,0.85866,0.85886,0.00019999999999997797,0.08064516129031248,0.85886,0.86023,False
EURGBP,short,2024-04-01 00:00,2024-04-08 00:00,0.85747,0.85864,0.0011700000000000044,2024-04-15 00:00,H4,2024-04-05 09:00,2024-04-05 13:00,0.85851,0.85864,0.00012999999999996348,0.11111111111107948,0.85847,0.85864,False
EURJPY,long,2024-03-25 00:00,2024-04-01 00:00,162.612,163.31,0.6980000000000075,2024-04-08 00:00,H4,2024-04-02 05:00,2024-04-02 09:00,162.62,162.734,0.11400000000000432,0.16332378223496144,162.612,162.936,False
EURJPY,short,2024-02-19 00:00,2024-02-26 00:00,162.904,163.72,0.8160000000000025,2024-03-04 00:00,H4,2024-02-26 10:00,2024-02-26 14:00,163.584,163.72,0.13599999999999568,0.16666666666666086,163.468,163.72,False
EURJPY,short,2024-02-19 00:00,2024-02-26 00:00,162.904,163.72,0.8160000000000025,2024-03-04 00:00,H4,2024-02-26 18:00,2024-02-26 22:00,163.555,163.564,0.00899999999998613,0.011029411764688852,163.468,163.72,False
